Thu 14 Dec 2023 14:01:26: Opened File
Thu 14 Dec 2023 14:01:27: ==New Motion Triggered==
	Time(ms)	Position	Speed	Force	Power	Voltage	Errors
Thu 14 Dec 2023 14:01:27: 	54.922001	72418	192	-42096	7	24174	0
Thu 14 Dec 2023 14:01:27: 	55.462002	72398	174	-42613	7	24174	0
Thu 14 Dec 2023 14:01:27: 	55.958000	72350	152	-43830	7	24174	0
Thu 14 Dec 2023 14:01:27: 	56.351002	72316	136	-44595	7	24147	0
Thu 14 Dec 2023 14:01:27: 	56.882000	72273	119	-45312	7	24147	0
Thu 14 Dec 2023 14:01:27: 	58.152000	72218	101	-46488	8	24147	0
Thu 14 Dec 2023 14:01:27: 	58.671001	71970	42	-49121	8	24147	0
Thu 14 Dec 2023 14:01:27: 	59.050999	71866	21	-49523	10	24147	0
Thu 14 Dec 2023 14:01:27: 	59.529999	71771	21	-49934	10	24147	0
Thu 14 Dec 2023 14:01:27: 	59.993999	71617	-21	-50917	10	24147	0
Thu 14 Dec 2023 14:01:27: 	60.536999	71492	-38	-50836	9	24057	0
Thu 14 Dec 2023 14:01:27: 	61.000000	71335	-63	-51787	9	24057	0
Thu 14 Dec 2023 14:01:27: 	61.453999	71192	-82	-51838	10	24057	0
Thu 14 Dec 2023 14:01:27: 	61.924000	71056	-99	-51983	10	24057	0
Thu 14 Dec 2023 14:01:27: 	62.327999	70848	-126	-52957	10	24057	0
Thu 14 Dec 2023 14:01:27: 	62.911999	70618	-153	-53085	10	24057	0
Thu 14 Dec 2023 14:01:27: 	63.353001	70435	-173	-53486	10	24057	0
Thu 14 Dec 2023 14:01:27: 	63.803001	70270	-189	-52906	10	24057	0
Thu 14 Dec 2023 14:01:27: 	64.248001	70005	-218	-52912	10	24057	0
Thu 14 Dec 2023 14:01:27: 	65.179001	69794	-239	-52380	10	24084	0
Thu 14 Dec 2023 14:01:27: 	65.624001	69305	-283	-50222	10	24084	0
Thu 14 Dec 2023 14:01:27: 	66.060997	69088	-301	-49439	9	24084	0
Thu 14 Dec 2023 14:01:27: 	66.533997	68830	-320	-47933	9	24084	0
Thu 14 Dec 2023 14:01:27: 	66.921997	68539	-345	-47201	8	24084	0
Thu 14 Dec 2023 14:01:27: 	67.511002	68298	-361	-45778	7	24084	0
Thu 14 Dec 2023 14:01:27: 	67.931999	67919	-393	-44957	7	24084	0
Thu 14 Dec 2023 14:01:27: 	68.512001	67671	-405	-43096	7	24102	0
Thu 14 Dec 2023 14:01:27: 	68.966003	67262	-438	-42110	7	24102	0
Thu 14 Dec 2023 14:01:27: 	69.359001	66986	-448	-40091	7	24102	0
Thu 14 Dec 2023 14:01:27: 	69.924004	66692	-467	-38783	7	24102	0
Thu 14 Dec 2023 14:01:27: 	70.367996	66364	-484	-37272	7	24102	0
Thu 14 Dec 2023 14:01:27: 	70.831001	66038	-499	-35750	7	24102	0
Thu 14 Dec 2023 14:01:27: 	71.275002	65709	-521	-34979	7	24102	0
Thu 14 Dec 2023 14:01:27: 	71.726997	65453	-528	-33783	7	24102	0
Thu 14 Dec 2023 14:01:27: 	72.198997	65092	-546	-32431	7	24102	0
Thu 14 Dec 2023 14:01:27: 	72.625000	64761	-564	-31634	7	24129	0
Thu 14 Dec 2023 14:01:27: 	73.017998	64505	-569	-30273	7	24129	0
Thu 14 Dec 2023 14:01:27: 	73.614998	64113	-588	-28606	7	24129	0
Thu 14 Dec 2023 14:01:27: 	74.179001	63769	-598	-27044	7	24129	0
Thu 14 Dec 2023 14:01:27: 	74.617996	63282	-623	-25224	7	24129	0
Thu 14 Dec 2023 14:01:27: 	75.120003	62937	-630	-23206	7	24129	0
Thu 14 Dec 2023 14:01:27: 	75.624001	62588	-646	-21552	7	24129	0
Thu 14 Dec 2023 14:01:27: 	76.039001	62241	-647	-19647	7	24129	0
Thu 14 Dec 2023 14:01:27: 	77.192001	61816	-670	-18031	8	24165	0
Thu 14 Dec 2023 14:01:27: 	78.171997	60990	-685	-14683	9	24165	0
Thu 14 Dec 2023 14:01:27: 	78.633003	60258	-700	-12552	11	24165	0
Thu 14 Dec 2023 14:01:27: 	79.021004	60012	-694	-11146	11	24165	0
Thu 14 Dec 2023 14:01:27: 	79.553001	59563	-713	-10169	11	24165	0
Thu 14 Dec 2023 14:01:27: 	79.948997	59259	-706	-9543	12	24165	0
Thu 14 Dec 2023 14:01:27: 	80.477997	58877	-722	-8272	12	24210	0
Thu 14 Dec 2023 14:01:27: 	80.949997	58488	-728	-8053	13	24210	0
Thu 14 Dec 2023 14:01:27: 	81.486000	58063	-740	-5555	13	24210	0
Thu 14 Dec 2023 14:01:27: 	81.955002	57680	-744	-4366	13	24210	0
Thu 14 Dec 2023 14:01:27: 	82.496002	57238	-758	-1272	13	24210	0
Thu 14 Dec 2023 14:01:27: 	82.936996	56823	-761	1034	14	24210	0
Thu 14 Dec 2023 14:01:27: 	83.538002	56451	-766	3367	14	24210	0
Thu 14 Dec 2023 14:01:27: 	83.996002	56047	-761	5432	14	24210	0
